student_id,password,email,first_name,last_name,gender,phone_number,institution_name,faculty_name,program_code,part,status,address,E3,CSC662,E4,CSC650,ICT652,dl_1_p6,dl_2_p6,dl_3_p6,dl_4_p6,dl_5_p6,prog_1_p6,prog_2_p6,prog_3_p6,prog_4_p6,prog_5_p6,ds_1_p6,ds_2_p6,ds_3_p6,ds_4_p6,ds_5_p6,CSC580,CSC645,CSC649,CSP600,ENT600,E2,FL3,dl_1_p5,dl_2_p5,dl_3_p5,dl_4_p5,dl_5_p5,prog_1_p5,prog_2_p5,prog_3_p5,prog_4_p5,prog_5_p5,ds_1_p5,ds_2_p5,ds_3_p5,ds_4_p5,ds_5_p5,CSC508,CSC569,CSC577,CSC584,ELC650,E1,FL2,dl_1_p4,dl_2_p4,dl_3_p4,dl_4_p4,dl_5_p4,prog_1_p4,prog_2_p4,prog_3_p4,prog_4_p4,prog_5_p4,ds_1_p4,ds_2_p4,ds_3_p4,ds_4_p4,ds_5_p4,CSC435,CSC510,CSC520,CSC583,ELC501,C3,MAT423,FL1,dl_1_p3,dl_2_p3,dl_3_p3,dl_4_p3,dl_5_p3,prog_1_p3,prog_2_p3,prog_3_p3,prog_4_p3,prog_5_p3,ds_1_p3,ds_2_p3,ds_3_p3,ds_4_p3,ds_5_p3,CSC404,CTU554,C2,ICT502,ITT400,MAT421,STA416,dl_1_p2,dl_2_p2,dl_3_p2,dl_4_p2,dl_5_p2,prog_1_p2,prog_2_p2,prog_3_p2,prog_4_p2,prog_5_p2,ds_1_p2,ds_2_p2,ds_3_p2,ds_4_p2,ds_5_p2,CSC402,CSC413,CSC429,CTU552,C1,ICT450,MAT406,dl_1_p1,dl_2_p1,dl_3_p1,dl_4_p1,dl_5_p1,prog_1_p1,prog_2_p1,prog_3_p1,prog_4_p1,prog_5_p1,ds_1_p1,ds_2_p1,ds_3_p1,ds_4_p1,ds_5_p1
2022531233,123,student1@gmail.com,Ahmad,Latif,Male,012-6513875,UiTM Kampus Jasin,FSKM,CDCS230,4,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,A-,A,A,A,A,C-,B-,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,B+,A,A,B,A+,C+,D+,2.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,4.0,4.0,A,B+,A-,A,A+,C,A+,4.0,3.0,1.0,4.0,1.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0
2023347626,123,student2@gmail.com,Farah,Latif,Female,016-9564143,UiTM Kampus Jasin,FSKM,CDCS230,6,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,A-,B+,B+,C,A-,B+,B+,3.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,B+,B,B,B,B,A-,A+,5.0,2.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,B,B,A-,B,D+,B,D+,A,2.0,1.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,1.0,3.0,1.0,5.0,3.0,5.0,A-,B,B+,C-,B+,A,A,1.0,3.0,1.0,5.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,B,B,B+,B,B+,B+,A,4.0,5.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,1.0,4.0
2022408922,123,student3@gmail.com,Danial,Yusof,Male,018-7756436,UiTM Kampus Jasin,FSKM,CDCS230,4,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-,C,C,B-,B-,C,B-,B-,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,C+,C+,C+,C,D+,D+,A,2.0,5.0,1.0,4.0,5.0,5.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,B-,C+,C+,B-,C,A-,A+,3.0,1.0,4.0,1.0,5.0,2.0,3.0,2.0,3.0,5.0,1.0,4.0,5.0,1.0,3.0
2023245644,123,student4@gmail.com,Liyana,Rahman,Female,011-07456242,UiTM Kampus Jasin,FSKM,CDCS230,6,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,A,A,B+,A+,C+,A,A,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,A,A+,A-,A-,C-,B+,B+,3.0,3.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,A,A-,A,A-,A,A-,C+,C,1.0,2.0,5.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,B+,A-,A+,A+,C,B,A,1.0,4.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,5.0,5.0,1.0,A+,A-,A,B+,A,A+,A,5.0,3.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0
2023239892,123,student5@gmail.com,Aqil,Abdullah,Male,016-9776309,UiTM Kampus Jasin,FSKM,CDCS230,4,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,B-,B-,D+,C+,C+,B,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,C,C,B-,A,C,A+,B-,5.0,2.0,2.0,2.0,1.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,5.0,3.0,5.0,B-,C,B-,C,C+,C+,A+,1.0,5.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,3.0,1.0,3.0
2025946969,123,student6@gmail.com,Ahmad,Latif,Male,019-8123518,UiTM Kampus Jasin,FSKM,CDCS230,5,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,A+,A,A+,C-,A,C-,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,A-,A-,A,B+,C,A,C,B,4.0,2.0,3.0,1.0,1.0,4.0,5.0,2.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,A,B+,A+,A+,A,A-,C,1.0,2.0,1.0,5.0,3.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,1.0,5.0,1.0,B+,A+,A+,B+,B+,B-,A+,2.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,4.0,2.0,3.0,1.0
2025586863,123,student7@gmail.com,Danial,Latif,Male,010-7047087,UiTM Kampus Jasin,FSKM,CDCS230,2,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A-,A-,B+,B,B+,A+,B+,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
2023292816,123,student8@gmail.com,Hannah,Khalid,Female,011-14952511,UiTM Kampus Jasin,FSKM,CDCS230,5,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A+,A+,A,A+,D+,B+,C+,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,A+,A,A-,A,B,A,D+,C-,5.0,4.0,5.0,1.0,5.0,1.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,3.0,A+,A,B+,C+,C,A-,C+,1.0,4.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0,3.0,4.0,4.0,A-,A+,B+,B+,A-,A+,B+,5.0,5.0,2.0,2.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,2.0
2025198932,123,student9@gmail.com,Irfan,Yusof,Male,017-0416166,UiTM Kampus Jasin,FSKM,CDCS230,1,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025951492,123,student10@gmail.com,Ahmad,Latif,Male,017-0840675,UiTM Kampus Jasin,FSKM,CDCS230,2,Incomplete,UiTM Kampus Jasin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B+,A,B+,A-,A,A,A-,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0
